source_frame,original_source_frame,source_timestamp_s,time_s,sim_time_s,pairing_error_s,simulation_step,status,pixel_iou,footprint_iou,pixel_bias_m,pixel_mae_m,pixel_p95_m,real_coverage,sim_coverage,common_visible_pixels,depth_change_mae_m,boundary_mean_distance_px,frozen_pixel_iou,frozen_pixel_p95_m
21,23,0.7670700550079346,0.7003681510686874,0.7004,3.1848931312583595e-05,3502,paired,0.5290277724129939,0.7787255393878575,0.009420841932296753,0.009504870511591434,0.03021290898323059,0.991745112237509,0.5313676042677012,13696,0.005874444264918566,5.0992532139564055,0.5349318545710158,0.02853044867515564
22,24,0.800421416759491,0.7337195128202438,0.7338,8.048717975617237e-05,3669,paired,0.5307674490426189,0.7692692692692693,0.011348947882652283,0.011373864486813545,0.032142531871795645,0.9924209614551754,0.5329276328539866,13749,0.007295125629752874,5.204583259399125,0.5365901280849734,0.03103688359260559
23,25,0.8337724804878235,0.7670705765485764,0.7672,0.0001294234514236381,3836,paired,0.5253014851293187,0.7559880239520959,0.010062566958367825,0.010103856213390827,0.03094716370105743,0.9919455224427034,0.5275516959383153,13547,0.005812233779579401,5.251938644614418,0.5287181289289759,0.029067039489746094
24,26,0.867123544216156,0.8004216402769089,0.8006000000000001,0.00017835972309121484,4003,paired,0.522906241514411,0.7416124186279419,0.00990369450300932,0.009983642026782036,0.03138140738010404,0.9912493565703361,0.5253312548713952,13480,0.006779008079320192,5.547662407793659,0.5261555277951281,0.029093888401985166
25,27,0.9004743695259094,0.8337724655866623,0.8338,2.753441333769313e-05,4169,paired,0.5259362642474994,0.7314028956565152,0.01123685110360384,0.011242691427469254,0.03181024640798569,0.9934822409373856,0.5277572456720483,13566,0.008076576516032219,6.145042282921948,0.5291774080149988,0.030539324879646293
26,28,0.9338254332542419,0.8671235293149948,0.8672000000000001,7.647068500526988e-05,4336,paired,0.5162704107357561,0.7157894736842105,0.012116317637264729,0.012121968902647495,0.03326334059238434,0.9918777943368108,0.5184622575368076,13311,0.008384075947105885,6.792714141112261,0.5197609935171444,0.03105950355529785
27,29,0.9671762585639954,0.9004743546247482,0.9006000000000001,0.00012564537525183717,4503,paired,0.513956982445042,0.7024665981500514,0.01282833144068718,0.012830691412091255,0.03294917941093445,0.9918358003967649,0.5161405598570578,12999,0.010351180098950863,6.987007125146279,0.5051470014817125,0.03159740865230559
28,30,1.0005271434783936,0.9338252395391464,0.934,0.00017476046085362906,4670,paired,0.4976580327475079,0.6557120500782473,0.014387460425496101,0.014388596639037132,0.03437910974025726,0.9813689113444383,0.5024047205270178,12431,0.011913810856640339,7.892448178360058,0.4764004952027236,0.03354137986898421
29,31,1.0338777303695679,0.9671758264303207,0.9672000000000001,2.417356967931994e-05,4836,paired,0.4995085592595626,0.6572944297082228,0.013112572021782398,0.013119176030158997,0.03298618197441101,0.9766194250940828,0.505554173920252,12197,0.01133655197918415,9.762031552929294,0.4635123680357556,0.03362317830324172
30,32,1.0672285556793213,1.0005266517400742,1.0006000000000002,7.334825992599825e-05,5003,paired,0.4774122268598085,0.6238726790450928,0.0165741965174675,0.0165741965174675,0.035428857803344725,0.9374849337083166,0.4931107354184277,11667,0.013229751959443092,10.58579984859228,0.4428598592888382,0.03862980604171752
31,33,1.1005791425704956,1.0338772386312485,1.034,0.00012276136875155608,5170,paired,0.42196691539342257,0.5506361323155217,0.016247082501649857,0.01624823547899723,0.0351986363530159,0.8538105128614795,0.4548278650155326,10688,0.012883043847978115,12.54965683150328,0.4080453383709301,0.03894996643066406
32,34,1.13392972946167,1.0672278255224228,1.0674000000000001,0.00017217447757733595,5337,paired,0.3750473162237868,0.49637155297532654,0.01743284985423088,0.01743413135409355,0.03774237483739851,0.793655879525793,0.41556916366076674,9908,0.01369903702288866,13.536862606359584,0.3927026035936927,0.0398236095905304
33,35,1.1672803163528442,1.100578412413597,1.1006,2.1587586402915804e-05,5503,paired,0.3433424107782715,0.4641369736233225,0.016137072816491127,0.016155174002051353,0.03684993982315057,0.7515883598713624,0.38729234873287255,9582,0.013131353072822094,15.258138073992434,0.3857023805210334,0.040351915359497066
34,36,1.2006306648254395,1.1339287608861923,1.1340000000000001,7.123911380779724e-05,5670,paired,0.33818292806999695,0.45227670753064797,0.014021120965480804,0.014116426929831505,0.03632844835519789,0.767490187023782,0.37678530945363864,9972,0.012222401797771454,14.087749692165524,0.38645533141210375,0.04061939120292663
35,37,1.2339812517166138,1.1672793477773666,1.1674,0.00012065222263335507,5837,paired,0.35658914728682173,0.4905090595340811,0.007341425865888596,0.009177318774163723,0.03128747940063473,0.8433215221075335,0.3818892144551416,10948,0.011246349662542343,11.940547086275847,0.3754557803674841,0.03786826133728026
36,38,1.267331600189209,1.2006296962499619,1.2008,0.0001703037500382365,6004,paired,0.382424762407603,0.5411868910540301,0.006685859989374876,0.008824532851576805,0.03007882833480835,0.8853999541599816,0.4023399527843355,11589,0.011056672781705856,10.878923806629139,0.3711442786069652,0.038180768489837646
37,39,1.3006815910339355,1.2339796870946884,1.234,2.0312905311570262e-05,6170,paired,0.40907725679959955,0.5824372759856631,0.008502095006406307,0.009839266538619995,0.031035126745700834,0.9418363426815213,0.41967953985209533,12258,0.011268172413110733,9.971498657193825,0.3802867383512545,0.03847783803939819
38,40,1.3340319395065308,1.2673300355672836,1.2674,6.99644327164517e-05,6337,paired,0.39768587235190933,0.579918955425484,0.008157090283930302,0.009837404824793339,0.03119235038757324,0.9217357310398749,0.4115839821247774,11789,0.011510427109897137,9.895372316688208,0.33700017461148946,0.03546945452690123
39,41,1.3673820495605469,1.3006801456212997,1.3008,0.00011985437870021265,6504,paired,0.42120343839541546,0.6099773242630385,0.007948790676891804,0.009725537151098251,0.030481180548667906,0.938654503990878,0.433126381142797,12348,0.011271283961832523,9.225432429287968,0.35305443724838087,0.035592365264892574
40,42,1.400732159614563,1.3340302556753159,1.3342,0.00016974432468419565,6671,paired,0.4149825666023493,0.5997267759562842,0.008022253401577473,0.009716127999126911,0.030568087100982674,0.9370891301024308,0.42687513058012394,12259,0.011204869486391544,8.995057403159386,0.3447085889570552,0.03774264454841614
41,43,1.434082269668579,1.367380365729332,1.3674000000000002,1.963427066820067e-05,6837,paired,0.4152025214592275,0.616658996778647,0.002999669872224331,0.008834488689899445,0.026827305555343628,0.956511663834389,0.423191278493558,12383,0.012378322891891003,9.797446656045226,0.3520329206527856,0.03719329237937929
42,44,1.4674323797225952,1.400730475783348,1.4008,6.952421665196162e-05,7004,paired,0.4067974198618251,0.6037822878228782,-0.001268334686756134,0.010387461632490158,0.024292510747909533,0.9452221545952526,0.4166191609939304,12424,0.0145300617441535,10.667625682075577,0.3568017416953438,0.037587255239486694
43,45,1.5007824897766113,1.4340805858373642,1.4342000000000001,0.00011941416263594462,7171,paired,0.3387752661164932,0.5325417766051012,-0.010181266814470291,0.015272697433829308,0.029104034602642055,0.869198312236287,0.3569740697564511,11330,0.020208973437547684,15.411762314203802,0.35932263185747043,0.03849882483482357
44,46,1.534134030342102,1.467432126402855,1.4676,0.0001678735971450962,7338,paired,0.27958988226015435,0.46331058020477817,-0.019275901839137077,0.021236326545476913,0.03678351640701294,0.7700543056633049,0.305058700596226,9926,0.025840912014245987,20.72063496725445,0.3589534801387807,0.03683106899261476
45,47,1.5674858093261719,1.5007839053869247,1.5008000000000001,1.6094613075390285e-05,7504,paired,0.24131369953673065,0.3990086741016109,-0.017595117911696434,0.020063793286681175,0.03636676073074341,0.676066131025958,0.27286333447662997,8751,0.02417406439781189,24.34217068209239,0.356447173406733,0.03794404864311218
46,48,1.6008373498916626,1.5341354459524155,1.5342,6.455404758454186e-05,7671,paired,0.23687382614302133,0.37344564781387884,-0.010738071985542774,0.015194332227110863,0.03007534146308899,0.6429767158727743,0.2727478131758174,8450,0.020344315096735954,24.217099354796638,0.3521259842519685,0.03785949945449829
47,49,1.6341890096664429,1.5674871057271957,1.5676,0.0001128942728043647,7838,paired,0.2610439308127966,0.37525520620661496,0.004408962093293667,0.01061063352972269,0.0292341411113739,0.6508663460804519,0.30354917945249366,8527,0.012849358841776848,20.56699286904746,0.3447615065677154,0.03585110008716579
48,50,1.6675405502319336,1.6008386462926865,1.601,0.00016135370731351628,8005,paired,0.30095400452414517,0.40734487125369356,0.008629129268229008,0.011148213408887386,0.03390628099441528,0.7051232813580152,0.3442844284428443,9180,0.01254860870540142,16.878538517749917,0.3382209867963864,0.03704997301101685
49,51,1.7008920907974243,1.6341901868581772,1.6342,9.81314182291193e-06,8171,paired,0.35577998322616716,0.46483856700574966,0.009597139433026314,0.010379353538155556,0.03289809823036194,0.7812308164518109,0.39514845720939257,10181,0.011296243406832218,14.580308310929295,0.3426380902596271,0.038427889347076416
50,52,1.734243392944336,1.6675414890050888,1.6676,5.851099491116507e-05,8338,paired,0.35641130684145844,0.47467248908296944,0.007656509522348642,0.00935773178935051,0.03142538517713545,0.8111888111888111,0.3886531159258432,10440,0.011122887954115868,14.026588977905943,0.33397079276773295,0.03726241588592529
51,53,1.7675946950912476,1.7008927911520004,1.701,0.00010720884799964026,8505,paired,0.365331609214959,0.47863993025283347,0.007641304284334183,0.009388015605509281,0.0317702442407608,0.8335403726708075,0.39408288367654076,10736,0.01118415966629982,14.362287944841261,0.3373410001742464,0.03757116347551345
52,54,1.8009459972381592,1.734244093298912,1.7344000000000002,0.00015590670108811544,8672,paired,0.3848293833855689,0.5025125628140703,0.0076891095377504826,0.009167773649096489,0.031567661464214324,0.8697866921362624,0.40835544262172563,10928,0.011007284745573997,13.451469062116592,0.3293398533007335,0.03894564509391785
53,55,1.8342970609664917,1.7675951570272446,1.7676,4.84297275549217e-06,8838,paired,0.40467333598179783,0.510757717492984,0.007276596501469612,0.008549623191356659,0.028166800737380975,0.900433944069431,0.4236294896030246,11205,0.010092266835272312,13.238324589240516,0.3226537442476642,0.03895663619041442
54,56,1.8676484823226929,1.8009465783834457,1.8010000000000002,5.342161655441657e-05,9005,paired,0.4039006319459577,0.5096561469618465,0.006984957959502935,0.008177685551345348,0.026883721351623535,0.9048083963876007,0.42182521620391444,11121,0.010084857232868671,12.29916328731182,0.3076097864830259,0.039077818393707275
55,57,1.9009995460510254,1.8342976421117783,1.8344,0.00010235788822177128,9172,paired,0.38110185084965903,0.4894017899199246,0.0077124242670834064,0.008756794035434723,0.028777697682380667,0.8863064272528948,0.40069038767923526,10563,0.010744607076048851,13.98783189576954,0.282452953073047,0.041170282661914824
56,58,1.934350609779358,1.8676487058401108,1.8678000000000001,0.00015129415988934802,9339,paired,0.35394093132813914,0.4462340123164377,0.007333612069487572,0.008466437458992004,0.027861633896827692,0.8499695413802106,0.3775269606895752,9767,0.010161658748984337,15.20152101503988,0.2685118496415955,0.040618920326232884
57,59,1.9677016735076904,1.9009997695684433,1.901,2.304315567247528e-07,9505,paired,0.33622770671951,0.4195837275307474,0.008735263720154762,0.00911876279860735,0.02928677201271057,0.8243816254416961,0.3621686653471495,9332,0.010299133136868477,15.698898349333888,0.27106062698522304,0.04294717311859131
58,60,2.0010523796081543,1.9343504756689072,1.9344000000000001,4.9524331092953844e-05,9672,paired,0.31005145797598627,0.37966711650922175,0.008198663592338562,0.00932300928980112,0.029712140560150146,0.7796083843698783,0.3398383154728332,9038,0.010436500422656536,15.23476458790267,0.2753782668500688,0.047287569940090174
59,61,2.0344033241271973,1.9677014201879501,1.9678,9.857981204985933e-05,9839,paired,0.3099099099099099,0.3883411915987998,-0.0058861952275037766,0.011496971361339092,0.023196455836296082,0.822690274397919,0.33209132172617034,9804,0.01609722152352333,15.244890475305926,0.31922846362706725,0.042054569721221916
60,62,2.0677542686462402,2.001052364706993,2.0012000000000003,0.0001476352930072089,10006,paired,0.3027679657189183,0.41217605923488276,-0.016059929504990578,0.018546098843216896,0.0325542151927948,0.8765297569153395,0.3162558596703463,10457,0.023611467331647873,13.782428599449661,0.3442405086024209,0.039814771711826326
